Dynojet Research Inc.,
Run Name: C:\Users\Jake\Documents\Motorsports\JPDM Tunes\Dyno Files\uga 5-3-25\RunFile_039.drf,
Run Title: ,
Run Notes: ,
Run Date: 5/3/2025 5:29:23 PM,
RunFile_039.drf: 75.37 °F 28.52 in-Hg Humidity: 42 % SAE: 1.04 Average Gear Ratio: N/A,
,s,mph,hp,
,0.57,12.21,-INF,
,0.59,12.20,-INF,
,0.61,12.19,-INF,
,0.63,12.18,-INF,
,0.65,12.17,-INF,
,0.66,12.16,-INF,
,0.68,12.15,-INF,
,0.70,12.14,-INF,
,0.72,12.13,-0.30,
,0.74,12.12,-0.31,
,0.75,12.11,-0.32,
,0.77,12.10,-0.32,
,0.79,12.09,-0.33,
,0.81,12.08,-0.32,
,0.83,12.07,-0.32,
,0.85,12.06,-0.31,
,0.87,12.05,-0.30,
,0.89,12.04,-0.30,
,0.91,12.03,-0.30,
,0.93,12.02,-0.30,
,0.94,12.01,-0.31,
,0.96,12.00,-0.33,
,0.98,11.99,-0.35,
,1.00,11.98,-0.37,
,1.02,11.97,-0.39,
,1.04,11.96,-0.42,
,1.06,11.95,-0.44,
,1.08,11.94,-0.47,
,1.09,11.93,-0.48,
,1.11,11.92,-0.50,
,1.12,11.91,-0.52,
,1.13,11.90,-0.53,
,1.14,11.89,-0.55,
,1.15,11.88,-0.56,
,1.16,11.87,-0.58,
,1.17,11.86,-0.59,
,1.18,11.85,-0.60,
,1.19,11.84,-0.60,
,1.20,11.83,-0.60,
,1.21,11.82,-0.59,
,1.22,11.81,-0.58,
,1.24,11.80,-0.57,
,1.25,11.79,-0.55,
,1.26,11.78,-0.53,
,1.27,11.77,-0.50,
,1.28,11.76,-0.47,
,1.29,11.75,-0.45,
,1.30,11.74,-0.42,
,1.31,11.73,-0.39,
,1.32,11.72,-0.37,
,1.33,11.71,-0.35,
,1.35,11.70,-0.32,
,-INF,11.69,-INF,
,-INF,11.68,-INF,
,1.55,11.67,2.42,
,-INF,11.68,-INF,
,-INF,11.69,-INF,
,-INF,11.70,-INF,
,-INF,11.71,-INF,
,-INF,11.72,-INF,
,-INF,11.73,-INF,
,-INF,11.74,-INF,
,-INF,11.75,-INF,
,-INF,11.76,-INF,
,-INF,11.77,-INF,
,-INF,11.78,-INF,
,-INF,11.79,-INF,
,-INF,11.80,-INF,
,1.64,11.81,5.84,
,1.64,11.82,5.88,
,-INF,11.83,-INF,
,-INF,11.84,-INF,
,-INF,11.85,-INF,
,-INF,11.86,-INF,
,-INF,11.87,-INF,
,-INF,11.88,-INF,
,-INF,11.89,-INF,
,-INF,11.90,-INF,
,-INF,11.91,-INF,
,-INF,11.92,-INF,
