s,mph,hp,rpm,kw,torque_Nm
0.02,1.096774194,0.1,203.2258065,3.7285,5
0.04,2.193548387,0.1,406.4516129,3.7285,5
0.06,3.290322581,0.1,609.6774194,3.7285,5
0.08,4.387096774,0.5,812.9032258,3.7285,5
0.1,5.483870968,0.5,1016.129032,3.7285,5
0.12,6.580645161,0.5,1219.354839,3.7285,5
0.14,7.677419355,1,1422.580645,3.7285,5
0.16,8.774193548,1,1625.806452,3.7285,5
0.18,9.870967742,1,1829.032258,3.7285,5
0.2,10.96774194,1,2032.258065,3.7285,5
0.22,12.06451613,2,2235.483871,3.7285,5
0.24,13.16129032,2,2438.709677,3.7285,5
0.26,14.25806452,2,2641.935484,3.7285,5
0.28,15.35483871,2,2845.16129,3.7285,5
0.3,16.4516129,3,3048.387097,3.7285,5
0.32,17.5483871,3,3251.612903,3.7285,5
0.34,18.64516129,3,3454.83871,3.7285,5
0.36,19.74193548,3,3658.064516,3.7285,5
0.38,20.83870968,5,3861.290323,3.7285,5
0.4,21.93548387,5,4064.516129,3.7285,5
0.42,23.03225806,5,4267.741935,3.7285,5
0.44,24.12903226,5,4470.967742,3.7285,5
0.46,25.22580645,5,4674.193548,3.7285,5
0.48,26.32258065,5,4877.419355,3.7285,5
0.5,27.41935484,5,5080.645161,3.7285,5
0.52,28.51612903,5,5283.870968,3.7285,5
0.54,29.61290323,5,5487.096774,3.7285,5
0.56,30.70967742,5,5690.322581,3.7285,5
0.58,31.80645161,5,5893.548387,3.7285,5
0.6,32.90322581,5,6096.774194,3.7285,6
0.62,34,5,6300,3.7285,6
0.64,34.83,5,6314.10339,3.7285,6
0.66,34.82,5,6312.290555,3.7285,6
0.69,34.81,5,6310.47772,3.7285,6
0.72,34.83,5.86,6314.10339,4.369802,6.609269206
0.72,34.84,6.06,6315.916225,4.518942,6.832879754
0.74,34.91,7.45,6328.606068,5.555465,8.383313827
0.74,34.92,7.63,6330.418902,5.689691,8.583404967
0.76,34.98,8.71,6341.295911,6.495047,9.781549343
0.76,34.99,8.87,6343.108746,6.614359,9.958386492
0.78,35.06,9.98,6355.798589,7.442086,11.18221736
0.79,35.07,10.13,6357.611423,7.553941,11.34705029
0.8,35.13,10.99,6368.488432,8.195243,12.28934801
0.8,35.14,11.13,6370.301267,8.299641,12.44235841
0.82,35.2,11.96,6381.178275,8.918572,13.34743505
0.82,35.21,12.1,6382.99111,9.02297,13.49984075
0.84,35.28,13.09,6395.680953,9.761213,14.57539625
0.85,35.29,13.24,6397.493788,9.873068,14.73824009
0.86,35.35,14.14,6408.370796,10.544198,15.71336836
0.86,35.36,14.29,6410.183631,10.656053,15.875568
0.88,35.42,15.23,6421.060639,11.357011,16.89120554
0.88,35.43,15.35,6422.873474,11.446495,17.01948944
0.9,35.52,16.43,6439.188987,12.251851,18.17079407
0.9,35.53,16.51,6441.001821,12.311507,18.25413113
0.92,35.66,17.56,6464.568673,13.094492,19.34427569
0.92,35.67,17.63,6466.381508,13.146691,19.41594366
0.94,35.8,18.56,6489.948359,13.840192,20.36592994
0.94,35.81,18.62,6491.761194,13.884934,20.42606247
0.96,35.94,19.38,6515.328046,14.451666,21.18287972
0.96,35.95,19.42,6517.14088,14.481494,21.22069635
0.98,36.08,19.99,6540.707732,14.906543,21.76484434
0.98,36.09,20.02,6542.520567,14.928914,21.79146817
1,36.21,20.42,6564.274584,15.227194,22.15320228
1,36.22,20.44,6566.087418,15.242108,22.16877756
1.02,36.34,20.73,6587.841435,15.458361,22.40906206
1.02,36.35,20.75,6589.65427,15.473275,22.42451124
1.04,36.47,20.99,6611.408287,15.652243,22.6092406
1.04,36.48,21.01,6613.221121,15.667157,22.62457985
1.06,36.6,21.27,6634.975138,15.861039,22.82946346
1.06,36.61,21.3,6636.787973,15.88341,22.85541833
1.08,36.74,21.63,6660.354825,16.129491,23.12739232
1.08,36.75,21.66,6662.167659,16.151862,23.15316726
1.1,36.89,22.1,6687.547346,16.47997,23.53384662
1.1,36.9,22.13,6689.36018,16.502341,23.55940662
1.12,37.04,22.63,6714.739867,16.875191,24.00064295
1.12,37.05,22.67,6716.552701,16.905019,24.0365763
1.14,37.19,23.2,6741.932388,17.30024,24.50592538
1.14,37.2,23.24,6743.745223,17.330068,24.541578
1.16,37.34,23.75,6769.124909,17.710375,24.98610729
1.16,37.35,23.78,6770.937744,17.732746,25.01097052
1.18,37.5,24.25,6798.130265,18.083225,25.40327885
1.18,37.51,24.28,6799.943099,18.105596,25.4279248
1.2,37.66,24.71,6827.13562,18.426247,25.77518137
1.2,37.67,24.74,6828.948455,18.448618,25.79962392
1.22,37.82,25.14,6856.140976,18.746898,26.11277634
1.22,37.83,25.16,6857.953811,18.761812,26.12664208
1.24,37.98,25.57,6885.146332,19.067549,26.44752692
1.24,37.99,25.6,6886.959167,19.08992,26.4715866
1.26,38.14,26.06,6914.151688,19.432942,26.84126766
1.26,38.15,26.09,6915.964523,19.455313,26.86512323
1.28,38.3,26.63,6943.157044,19.857991,27.31377281
1.28,38.31,26.67,6944.969878,19.887819,27.3476595
1.3,38.47,27.38,6973.975234,20.417266,27.9589307
1.3,38.48,27.43,6975.788069,20.454551,28.00270882
1.32,38.63,28.19,7002.98059,21.021283,28.6668298
1.32,38.64,28.24,7004.793425,21.058568,28.71024343
1.34,38.82,29.15,7037.42445,21.737155,29.49798349
1.34,38.83,29.21,7039.237285,21.781897,29.55108742
1.36,39.01,30.16,7071.86831,22.490312,30.37139129
1.36,39.02,30.21,7073.681145,22.527597,30.41394529
1.38,39.2,31.18,7106.31217,23.250926,31.24635366
1.38,39.21,31.24,7108.125005,23.295668,31.29849704
1.4,39.39,32.19,7140.75603,24.004083,32.10290223
1.4,39.4,32.24,7142.568865,24.041368,32.14460634
1.42,39.59,33.13,7177.012725,24.705041,32.87344618
1.42,39.6,33.18,7178.825559,24.742326,32.91474509
1.44,39.8,34.04,7215.082254,25.383628,33.59818209
1.44,39.81,34.08,7216.895089,25.413456,33.62921337
1.46,40.01,34.88,7253.151784,26.010016,34.24658138
1.46,40.02,34.92,7254.964618,26.039844,34.2772878
1.48,40.22,35.67,7291.221313,26.599119,34.83937403
1.48,40.23,35.7,7293.034148,26.62149,34.8600081
1.5,40.44,36.4,7331.103677,27.14348,35.35896441
1.5,40.45,36.44,7332.916512,27.173308,35.38906941
1.52,40.67,37.12,7372.798876,27.680384,35.85445251
1.52,40.68,37.15,7374.611711,27.702755,35.87460881
1.54,40.89,37.79,7412.681241,28.180003,36.30522073
1.54,40.9,37.82,7414.494075,28.202374,36.32515839
1.56,41.12,38.47,7454.37644,28.687079,36.7517802
1.56,41.13,38.5,7456.189274,28.70945,36.7714978
1.58,41.35,39.12,7496.071638,29.171784,37.16487123
1.58,41.36,39.14,7497.884473,29.186698,37.17488138
1.6,41.58,39.74,7537.766837,29.634118,37.54504922
1.6,41.59,39.77,7539.579672,29.656489,37.564358
1.62,41.81,40.34,7579.462036,30.081538,37.90225303
1.62,41.82,40.36,7581.274871,30.096452,37.91197674
1.64,42.04,40.88,7621.157235,30.484216,38.19948255
1.64,42.05,40.9,7622.97007,30.49913,38.20908239
1.66,42.29,41.37,7666.478104,30.849609,38.42882768
1.66,42.3,41.38,7668.290939,30.857066,38.42902971
1.68,42.53,41.75,7709.986137,31.132975,38.56296314
